# MistServer ONNX model-pack manifest v1
# id<TAB>relative-path<TAB>pinned-url<TAB>sha256<TAB>bytes<TAB>license<TAB>source
yolo26n	yolo26n.onnx	https://huggingface.co/onnx-community/yolo26n-ONNX/resolve/a8dc7e14743e1cea8ccd493bd99b4c2827de1acf/onnx/model.onnx	cda08d9440217e243e075ee839f40383c59b3f973e493f9f6c7452922a69436e	9890454	AGPL-3.0-only	https://huggingface.co/onnx-community/yolo26n-ONNX/tree/a8dc7e14743e1cea8ccd493bd99b4c2827de1acf
parakeet-tdt-0.6b-int8	parakeet-tdt-0.6b-int8/nemo128.onnx	https://huggingface.co/istupakov/parakeet-tdt-0.6b-v3-onnx/resolve/8f23f0c03c8761650bdb5b40aaf3e40d2c15f1ce/nemo128.onnx	a9fde1486ebfcc08f328d75ad4610c67835fea58c73ba57e3209a6f6cf019e9f	139764	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-int8	parakeet-tdt-0.6b-int8/encoder-model.int8.onnx	https://huggingface.co/istupakov/parakeet-tdt-0.6b-v3-onnx/resolve/8f23f0c03c8761650bdb5b40aaf3e40d2c15f1ce/encoder-model.int8.onnx	6139d2fa7e1b086097b277c7149725edbab89cc7c7ae64b23c741be4055aff09	652183999	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-int8	parakeet-tdt-0.6b-int8/decoder_joint-model.int8.onnx	https://huggingface.co/istupakov/parakeet-tdt-0.6b-v3-onnx/resolve/8f23f0c03c8761650bdb5b40aaf3e40d2c15f1ce/decoder_joint-model.int8.onnx	eea7483ee3d1a30375daedc8ed83e3960c91b098812127a0d99d1c8977667a70	18202004	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-int8	parakeet-tdt-0.6b-int8/vocab.txt	https://huggingface.co/istupakov/parakeet-tdt-0.6b-v3-onnx/resolve/8f23f0c03c8761650bdb5b40aaf3e40d2c15f1ce/vocab.txt	d58544679ea4bc6ac563d1f545eb7d474bd6cfa467f0a6e2c1dc1c7d37e3c35d	93939	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-fp16	parakeet-tdt-0.6b-fp16/nemo128.onnx	https://huggingface.co/grikdotnet/parakeet-tdt-0.6b-fp16/resolve/dc9871ec5ad84a420940077e76e8741b3609bf8b/nemo128.onnx	a9fde1486ebfcc08f328d75ad4610c67835fea58c73ba57e3209a6f6cf019e9f	139764	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-fp16	parakeet-tdt-0.6b-fp16/encoder-model.fp16.onnx	https://huggingface.co/grikdotnet/parakeet-tdt-0.6b-fp16/resolve/dc9871ec5ad84a420940077e76e8741b3609bf8b/encoder-model.fp16.onnx	a2bdeeb99cb7e5548818e823127b33854dd0c26f5d0c8da91effdd895ea0e717	1238960452	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-fp16	parakeet-tdt-0.6b-fp16/decoder_joint-model.fp16.onnx	https://huggingface.co/grikdotnet/parakeet-tdt-0.6b-fp16/resolve/dc9871ec5ad84a420940077e76e8741b3609bf8b/decoder_joint-model.fp16.onnx	b33a73b7c1d71b9d5a0911f5cb478be3dcbf79f53355c531ab1cd1dcd68ad8ef	36266140	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-fp16	parakeet-tdt-0.6b-fp16/vocab.txt	https://huggingface.co/grikdotnet/parakeet-tdt-0.6b-fp16/resolve/dc9871ec5ad84a420940077e76e8741b3609bf8b/vocab.txt	d58544679ea4bc6ac563d1f545eb7d474bd6cfa467f0a6e2c1dc1c7d37e3c35d	93939	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-fp32	parakeet-tdt-0.6b-fp32/nemo128.onnx	https://huggingface.co/istupakov/parakeet-tdt-0.6b-v3-onnx/resolve/8f23f0c03c8761650bdb5b40aaf3e40d2c15f1ce/nemo128.onnx	a9fde1486ebfcc08f328d75ad4610c67835fea58c73ba57e3209a6f6cf019e9f	139764	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
parakeet-tdt-0.6b-fp32	parakeet-tdt-0.6b-fp32/encoder-model.onnx	https://huggingface.co/istupakov/parakeet-tdt-0.6b-v3-onnx/resolve/8f23f0c03c8761650bdb5b40aaf3e40d2c15f1ce/encoder-model.onnx	98a74b21b4cc0017c1e7030319a4a96f4a9506e50f0708f3a516d02a77c96bb1	41770866	CC-BY-4.0	https://huggingface.co/nvidia/parakeet-tdt-0.6b-v3
